date,ML,Low_90,High_90,Low_50,High_50
2020-03-08,0.0,0.0,10.81,0.0,6.01
2020-03-09,11.89,10.41,12.0,11.46,11.98
2020-03-10,11.78,8.73,12.0,10.46,11.88
2020-03-11,4.74,3.45,6.21,4.15,5.28
2020-03-12,2.4,1.7,3.2,2.0300000000000002,2.65
2020-03-13,1.31,0.79,1.83,1.05,1.48
2020-03-14,0.78,0.38,1.17,0.56,0.89
2020-03-15,0.61,0.29,0.93,0.48,0.74
2020-03-16,0.66,0.36,0.9500000000000001,0.53,0.77
2020-03-17,0.8200000000000001,0.53,1.12,0.65,0.9
2020-03-18,1.05,0.74,1.36,0.88,1.1400000000000001
2020-03-19,1.31,0.97,1.6300000000000001,1.16,1.43
2020-03-20,1.56,1.2,1.8900000000000001,1.37,1.6600000000000001
2020-03-21,1.74,1.37,2.08,1.57,1.86
2020-03-22,1.81,1.44,2.15,1.6600000000000001,1.95
2020-03-23,1.74,1.3900000000000001,2.09,1.57,1.86
2020-03-24,1.57,1.23,1.9100000000000001,1.41,1.69
2020-03-25,1.35,1.01,1.6600000000000001,1.18,1.45
2020-03-26,1.1400000000000001,0.8300000000000001,1.44,1.0,1.25
2020-03-27,1.0,0.71,1.28,0.84,1.08
2020-03-28,0.9500000000000001,0.68,1.22,0.8,1.03
2020-03-29,0.98,0.71,1.24,0.84,1.06
2020-03-30,1.05,0.78,1.31,0.91,1.1300000000000001
2020-03-31,1.1400000000000001,0.85,1.3900000000000001,1.02,1.24
2020-04-01,1.21,0.92,1.47,1.06,1.29
2020-04-02,1.26,0.96,1.52,1.12,1.35
2020-04-03,1.28,0.98,1.54,1.1400000000000001,1.37
2020-04-04,1.25,0.9500000000000001,1.51,1.11,1.34
2020-04-05,1.2,0.91,1.46,1.05,1.28
2020-04-06,1.1400000000000001,0.85,1.3900000000000001,1.01,1.23
2020-04-07,1.08,0.8200000000000001,1.34,0.93,1.1500000000000001
2020-04-08,1.03,0.77,1.28,0.91,1.12
2020-04-09,1.0,0.74,1.24,0.86,1.07
2020-04-10,0.98,0.71,1.21,0.84,1.05
2020-04-11,0.98,0.73,1.22,0.8300000000000001,1.04
