date,ML,Low_90,High_90,Low_50,High_50,adjustedCases,adjustedDomesticCases,confirmedOnlyCases,confirmedOnlyDomesticCases
2020-01-26,0.0001,0.0001,10.81,0.0001,6.01,2.0976586957994154,2.0976586957994154,0.0,0.0
2020-01-27,11.84,5.58,12.0,9.44,11.97,2.2732192516745933,2.2732192516745933,0.0,0.0
2020-01-28,11.81,6.38,12.0,9.68,11.950000000000001,2.1045617109751085,2.1045617109751085,3.0,3.0
2020-01-29,8.41,5.0,11.91,6.73,10.13,1.71492417991194,1.71492417991194,0.0,0.0
2020-01-30,4.74,2.3000000000000003,8.16,3.5700000000000003,5.96,1.2748185612192968,1.2748185612192968,1.0,1.0
2020-01-31,3.0300000000000002,1.49,5.09,2.23,3.7,0.8963845993578747,0.8963845993578747,0.0,0.0
2020-02-01,2.12,1.06,3.56,1.58,2.6,0.6124414862708091,0.6124414862708091,0.0,0.0
2020-02-02,1.58,0.71,2.65,1.1500000000000001,1.94,0.4118391752110083,0.4118391752110083,0.0,0.0
2020-02-03,1.24,0.49,2.12,0.84,1.51,0.2737516736444614,0.2737516736444614,0.0,0.0
2020-02-04,1.0,0.35000000000000003,1.8,0.65,1.25,0.18089641951624857,0.18089641951624857,2.0,2.0
2020-02-05,0.84,0.19,1.54,0.51,1.07,0.12079093914891655,0.12079093914891655,2.0,2.0
2020-02-06,0.72,0.13,1.4000000000000001,0.39,0.93,0.08479377677683138,0.08479377677683138,2.0,2.0
2020-02-07,0.64,0.04,1.26,0.37,0.89,0.06758370945179129,0.06758370945179129,1.0,1.0
2020-02-08,0.59,0.02,1.2,0.27,0.79,0.06700818946152161,0.06700818946152161,1.0,1.0
2020-02-09,0.56,0.02,1.18,0.22,0.74,0.0842049651706038,0.0842049651706038,1.0,1.0
2020-02-10,0.56,0.01,1.18,0.23,0.75,0.1239770109066817,0.1239770109066817,1.0,1.0
2020-02-11,0.6,0.05,1.24,0.3,0.8200000000000001,0.19529830581653024,0.19529830581653024,0.0,0.0
2020-02-12,0.66,0.08,1.31,0.35000000000000003,0.88,0.31176909758036037,0.31176909758036037,0.0,0.0
2020-02-13,0.77,0.16,1.43,0.44,0.98,0.49187821080493954,0.49187821080493954,1.0,1.0
2020-02-14,0.9,0.28,1.58,0.61,1.1500000000000001,0.7590400490437762,0.7590400490437762,0.0,0.0
2020-02-15,1.07,0.47000000000000003,1.79,0.76,1.31,1.1415008703360598,1.1415008703360598,2.0,2.0
2020-02-16,1.28,0.63,1.98,0.9500000000000001,1.51,1.6723076283558018,1.6723076283558018,1.0,1.0
2020-02-17,1.52,0.86,2.23,1.17,1.74,2.3895997482610642,2.3895997482610642,0.0,0.0
2020-02-18,1.78,1.1,2.49,1.46,2.0300000000000002,3.3375383126882774,3.3375383126882774,0.0,0.0
2020-02-19,2.05,1.35,2.75,1.69,2.27,4.568217531881155,4.568217531881155,0.0,0.0
2020-02-20,2.32,1.6300000000000001,3.02,2.0,2.57,6.1448488007667805,6.1448488007667805,0.0,0.0
2020-02-21,2.58,1.9100000000000001,3.27,2.25,2.81,8.146285033571237,8.146285033571237,0.0,0.0
2020-02-22,2.8000000000000003,2.18,3.49,2.5,3.04,10.672499604369081,10.672499604369081,0.0,0.0
2020-02-23,2.98,2.36,3.61,2.66,3.18,13.84993362608196,13.84993362608196,0.0,0.0
2020-02-24,3.11,2.54,3.71,2.86,3.34,17.83473217208988,17.83473217208988,0.0,0.0
2020-02-25,3.2,2.64,3.73,2.92,3.37,22.810982973856536,22.810982973856536,0.0,0.0
2020-02-26,3.24,2.73,3.73,3.0100000000000002,3.42,28.98051913820758,28.98051913820758,0.0,0.0
2020-02-27,3.24,2.79,3.7,3.0,3.38,36.54121392237997,36.54121392237997,1.0,1.0
2020-02-28,3.21,2.8000000000000003,3.63,3.04,3.38,45.6525779312915,45.6525779312915,2.0,2.0
2020-02-29,3.16,2.7600000000000002,3.52,2.99,3.3000000000000003,56.39113210534009,56.39113210534009,0.0,0.0
2020-03-01,3.0700000000000003,2.71,3.4,2.87,3.16,68.70294840296057,68.70294840296057,4.0,4.0
2020-03-02,2.96,2.62,3.25,2.79,3.0500000000000003,82.36535860107598,82.36535860107598,0.0,0.0
2020-03-03,2.82,2.5300000000000002,3.1,2.66,2.9,96.97182900914481,96.97182900914481,7.0,7.0
2020-03-04,2.65,2.38,2.9,2.5,2.72,111.95132611765793,111.95132611765793,14.0,14.0
2020-03-05,2.47,2.2,2.68,2.33,2.5300000000000002,126.62563714445923,126.62563714445923,5.0,5.0
2020-03-06,2.27,2.0300000000000002,2.47,2.15,2.33,140.2969414204016,140.2969414204016,28.0,28.0
2020-03-07,2.07,1.85,2.25,1.95,2.12,152.347420666977,152.347420666977,10.0,10.0
2020-03-08,1.8800000000000001,1.69,2.05,1.78,1.93,162.3272817031668,162.3272817031668,6.0,6.0
2020-03-09,1.7,1.53,1.86,1.61,1.75,170.00994262191907,170.00994262191907,18.0,18.0
2020-03-10,1.55,1.37,1.68,1.45,1.58,175.40273178392994,175.40273178392994,12.0,12.0
2020-03-11,1.41,1.27,1.55,1.33,1.45,178.71453941862956,178.71453941862956,20.0,20.0
2020-03-12,1.3,1.1500000000000001,1.42,1.23,1.34,180.29334014599826,180.29334014599826,9.0,9.0
2020-03-13,1.21,1.07,1.32,1.12,1.23,180.55233845431994,180.55233845431994,39.0,39.0
2020-03-14,1.1400000000000001,1.01,1.25,1.07,1.17,179.90244525581252,179.90244525581252,41.0,41.0
2020-03-15,1.08,0.96,1.19,1.0,1.1,178.70258923764314,178.70258923764314,190.0,190.0
2020-03-16,1.04,0.91,1.1400000000000001,0.96,1.06,177.23138596169164,177.23138596169164,125.0,125.0
2020-03-17,1.01,0.89,1.11,0.9500000000000001,1.04,175.67718495265044,175.67718495265044,120.0,120.0
2020-03-18,0.99,0.86,1.08,0.93,1.02,174.14030565950407,174.14030565950407,117.0,117.0
2020-03-19,0.97,0.85,1.07,0.91,1.0,172.64140255710893,172.64140255710893,110.0,110.0
2020-03-20,0.97,0.84,1.06,0.9,0.99,171.1321473295362,171.1321473295362,130.0,130.0
2020-03-21,0.96,0.8300000000000001,1.05,0.9,0.99,169.50714274623894,169.50714274623894,153.0,153.0
2020-03-22,0.96,0.8300000000000001,1.05,0.89,0.98,167.61785956716935,167.61785956716935,123.0,123.0
2020-03-23,0.9500000000000001,0.8200000000000001,1.04,0.89,0.98,165.28978505530657,165.28978505530657,212.0,212.0
2020-03-24,0.9400000000000001,0.8200000000000001,1.04,0.88,0.97,162.3430078416642,162.3430078416642,106.0,106.0
2020-03-25,0.93,0.8,1.02,0.87,0.96,158.6148119069227,158.6148119069227,172.0,172.0
2020-03-26,0.91,0.79,1.01,0.85,0.9400000000000001,153.981406856468,153.981406856468,235.0,235.0
2020-03-27,0.89,0.79,1.0,0.8300000000000001,0.92,148.37541993756346,148.37541993756346,130.0,130.0
2020-03-28,0.87,0.76,0.97,0.8,0.89,141.79648741626062,141.79648741626062,159.0,159.0
2020-03-29,0.84,0.73,0.9400000000000001,0.77,0.86,134.313899616966,134.313899616966,150.0,150.0
2020-03-30,0.81,0.7000000000000001,0.91,0.74,0.8300000000000001,126.06204966748773,126.06204966748773,156.0,156.0
2020-03-31,0.78,0.66,0.87,0.71,0.8,117.23064991042189,117.23064991042189,140.0,140.0
2020-04-01,0.74,0.63,0.84,0.67,0.76,108.05191531632217,108.05191531632217,142.0,142.0
2020-04-02,0.71,0.59,0.8,0.64,0.73,98.78632387317403,98.78632387317403,208.0,208.0
2020-04-03,0.68,0.56,0.77,0.61,0.7000000000000001,89.70771509693637,89.70771509693637,217.0,217.0
2020-04-04,0.65,0.53,0.74,0.58,0.67,81.08798222718872,81.08798222718872,150.0,150.0
2020-04-05,0.62,0.51,0.72,0.56,0.65,73.18172038035384,73.18172038035384,179.0,179.0
2020-04-06,0.61,0.48,0.7000000000000001,0.54,0.63,66.21170896379202,66.21170896379202,131.0,131.0
2020-04-07,0.6,0.48,0.7000000000000001,0.54,0.63,60.35652798682414,60.35652798682414,170.0,170.0
2020-04-08,0.6,0.47000000000000003,0.7000000000000001,0.52,0.62,55.74149068012231,55.74149068012231,156.0,156.0
2020-04-09,0.61,0.48,0.72,0.54,0.64,52.433351665097206,52.433351665097206,109.0,109.0
2020-04-10,0.64,0.5,0.75,0.55,0.66,50.4382954651141,50.4382954651141,118.0,118.0
2020-04-11,0.68,0.55,0.81,0.61,0.72,49.70210648841495,49.70210648841495,184.0,184.0
2020-04-12,0.74,0.59,0.87,0.65,0.77,50.11156844927155,50.11156844927155,153.0,153.0
2020-04-13,0.81,0.66,0.9500000000000001,0.74,0.86,51.49697104100229,51.49697104100229,134.0,134.0
2020-04-14,0.89,0.72,1.03,0.8,0.93,53.63660670421545,53.63660670421545,170.0,170.0
2020-04-15,0.97,0.81,1.1300000000000001,0.87,1.01,56.264705201691925,56.264705201691925,85.0,85.0
2020-04-16,1.05,0.87,1.21,0.96,1.1,59.084054222744925,59.084054222744925,110.0,110.0
2020-04-17,1.12,0.93,1.28,1.01,1.16,61.783719241411994,61.783719241411994,69.0,69.0
2020-04-18,1.17,0.98,1.33,1.06,1.21,64.0612015118095,64.0612015118095,54.0,54.0
2020-04-19,1.19,1.01,1.36,1.08,1.23,65.64737949991024,65.64737949991024,84.0,84.0
2020-04-20,1.18,1.0,1.35,1.08,1.23,66.33173378290897,66.33173378290897,36.0,36.0
2020-04-21,1.16,0.97,1.32,1.05,1.2,65.98461643639222,65.98461643639222,57.0,57.0
2020-04-22,1.11,0.93,1.27,1.02,1.16,64.57283252514034,64.57283252514034,50.0,50.0
2020-04-23,1.05,0.87,1.2,0.9500000000000001,1.09,62.16497914471939,62.16497914471939,71.0,71.0
2020-04-24,0.98,0.81,1.1300000000000001,0.87,1.01,58.92429352746378,58.92429352746378,88.0,88.0
