date,ML,Low_90,High_90,Low_50,High_50,adjustedCases,adjustedDomesticCases,confirmedOnlyCases,confirmedOnlyDomesticCases
2020-02-05,,,,,,,,1.0,1.0
2020-02-06,,,,,,,,0.0,0.0
2020-02-07,,,,,,,,0.0,0.0
2020-02-08,,,,,,,,0.0,0.0
2020-02-09,,,,,,,,0.0,0.0
2020-02-10,,,,,,,,0.0,0.0
2020-02-11,,,,,,,,0.0,0.0
2020-02-12,,,,,,,,0.0,0.0
2020-02-13,,,,,,,,0.0,0.0
2020-02-14,,,,,,,,0.0,0.0
2020-02-15,,,,,,,,0.0,0.0
2020-02-16,,,,,,,,0.0,0.0
2020-02-17,,,,,,,,0.0,0.0
2020-02-18,,,,,,,,0.0,0.0
2020-02-19,,,,,,,,0.0,0.0
2020-02-20,,,,,,,,0.0,0.0
2020-02-21,,,,,,,,0.0,0.0
2020-02-22,,,,,,,,0.0,0.0
2020-02-23,,,,,,,,0.0,0.0
2020-02-24,,,,,,,,0.0,0.0
2020-02-25,,,,,,,,0.0,0.0
2020-02-26,,,,,,,,0.0,0.0
2020-02-27,0.0001,0.0001,10.81,0.0001,6.01,2.4133695894081852,2.4133695894081852,0.0,0.0
2020-02-28,11.75,6.44,12.0,9.9,11.99,3.0424534321447028,3.0424534321447028,0.0,0.0
2020-02-29,11.72,7.83,12.0,10.43,11.97,3.762690833181002,3.762690833181002,0.0,0.0
2020-03-01,11.65,7.5600000000000005,12.0,10.03,11.9,4.56515893189072,4.56515893189072,0.0,0.0
2020-03-02,8.15,5.6000000000000005,11.32,6.88,9.4,5.432946205634303,5.432946205634303,0.0,0.0
2020-03-03,5.89,4.01,8.13,4.97,6.66,6.341116947471141,6.341116947471141,0.0,0.0
2020-03-04,4.58,3.23,6.09,3.97,5.14,7.2581461777665774,7.2581461777665774,0.0,0.0
2020-03-05,3.74,2.72,4.87,3.2800000000000002,4.16,8.148851228602558,8.148851228602558,1.0,1.0
2020-03-06,3.15,2.33,4.05,2.74,3.45,8.978356213849322,8.978356213849322,1.0,1.0
2020-03-07,2.71,1.98,3.43,2.34,2.94,9.716221868013626,9.716221868013626,1.0,1.0
2020-03-08,2.36,1.76,3.0100000000000002,2.04,2.56,10.33976019092231,10.33976019092231,1.0,1.0
2020-03-09,2.08,1.5,2.62,1.81,2.27,10.835818268870296,10.835818268870296,1.0,1.0
2020-03-10,1.85,1.33,2.34,1.58,2.0,11.20086196892196,11.20086196892196,1.0,1.0
2020-03-11,1.6500000000000001,1.17,2.1,1.44,1.82,11.43977261850745,11.43977261850745,1.0,1.0
2020-03-12,1.5,1.06,1.92,1.26,1.62,11.564119737817467,11.564119737817467,1.0,1.0
2020-03-13,1.37,0.9500000000000001,1.76,1.1400000000000001,1.48,11.590642410943486,11.590642410943486,1.0,1.0
2020-03-14,1.26,0.86,1.6300000000000001,1.06,1.3800000000000001,11.540309658819156,11.540309658819156,8.0,8.0
2020-03-15,1.18,0.8200000000000001,1.55,1.02,1.32,11.437846121951607,11.437846121951607,11.0,11.0
2020-03-16,1.11,0.75,1.46,0.9500000000000001,1.24,11.311252739374794,11.311252739374794,12.0,12.0
2020-03-17,1.06,0.71,1.4000000000000001,0.87,1.16,11.19077862133468,11.19077862133468,3.0,3.0
2020-03-18,1.03,0.7000000000000001,1.37,0.85,1.1300000000000001,11.107004686453871,11.107004686453871,0.0,0.0
2020-03-19,1.01,0.6900000000000001,1.35,0.8200000000000001,1.1,11.088045112778252,11.088045112778252,10.0,10.0
2020-03-20,1.0,0.66,1.32,0.85,1.12,11.156187808913717,11.156187808913717,10.0,10.0
2020-03-21,1.01,0.67,1.33,0.85,1.12,11.324471063655631,11.324471063655631,5.0,5.0
2020-03-22,1.02,0.68,1.34,0.87,1.1400000000000001,11.593723452872664,11.593723452872664,8.0,8.0
2020-03-23,1.05,0.72,1.3800000000000001,0.86,1.1400000000000001,11.950542291047427,11.950542291047427,16.0,16.0
2020-03-24,1.07,0.73,1.4000000000000001,0.89,1.17,12.366620818599873,12.366620818599873,15.0,15.0
2020-03-25,1.1,0.76,1.43,0.92,1.2,12.799775372693365,12.799775372693365,14.0,14.0
2020-03-26,1.1300000000000001,0.8,1.47,0.9500000000000001,1.23,13.19693261722247,13.19693261722247,9.0,9.0
2020-03-27,1.1400000000000001,0.79,1.47,0.97,1.25,13.499149313955472,13.499149313955472,6.0,6.0
2020-03-28,1.1500000000000001,0.8200000000000001,1.49,0.97,1.25,13.648412122053788,13.648412122053788,15.0,15.0
2020-03-29,1.1300000000000001,0.79,1.46,0.9500000000000001,1.23,13.595525774829806,13.595525774829806,9.0,9.0
2020-03-30,1.1,0.77,1.43,0.91,1.19,13.307948097502802,13.307948097502802,10.0,10.0
2020-03-31,1.05,0.73,1.3800000000000001,0.89,1.16,12.77613401794627,12.77613401794627,9.0,9.0
