date,ML,Low_90,High_90,Low_50,High_50,adjustedCases,adjustedDomesticCases,confirmedOnlyCases,confirmedOnlyDomesticCases
2020-12-27,0.0001,0.0001,10.81,0.0001,6.01,2.526364861947138,2.526364861947138,0.0,0.0
2020-12-28,11.89,6.5600000000000005,12.0,9.97,12.0,3.1791932933831886,3.1791932933831886,0.0,0.0
2020-12-29,11.870000000000001,7.92,12.0,10.49,11.99,3.8975056202173537,3.8975056202173537,0.0,0.0
2020-12-30,11.85,7.58,12.0,10.05,11.93,4.657256985288303,4.657256985288303,0.0,0.0
2020-12-31,7.99,5.4,11.1,6.67,9.15,5.428700946237962,5.428700946237962,0.0,0.0
2021-01-01,5.74,3.95,7.9,4.87,6.49,6.178217549211028,6.178217549211028,0.0,0.0
2021-01-02,4.45,3.17,5.88,3.85,4.96,6.870166312260068,6.870166312260068,0.0,0.0
2021-01-03,3.64,2.69,4.69,3.19,4.01,7.468642979421563,7.468642979421563,0.0,0.0
2021-01-04,3.08,2.31,3.88,2.75,3.39,7.939292837254567,7.939292837254567,1.0,1.0
2021-01-05,2.68,2.05,3.33,2.35,2.88,8.251514163113908,8.251514163113908,0.0,0.0
2021-01-06,2.36,1.81,2.9,2.08,2.5300000000000002,8.381311085270132,8.381311085270132,0.0,0.0
2021-01-07,2.1,1.61,2.56,1.87,2.2600000000000002,8.314679716840166,8.314679716840166,0.0,0.0
2021-01-08,1.8800000000000001,1.44,2.29,1.6600000000000001,2.0100000000000002,8.050875094862601,8.050875094862601,3.0,3.0
2021-01-09,1.68,1.3,2.07,1.48,1.8,7.604498942494227,7.604498942494227,8.0,8.0
2021-01-10,1.5,1.1300000000000001,1.85,1.31,1.61,7.00535828379483,7.00535828379483,5.0,5.0
2021-01-11,1.34,1.01,1.68,1.16,1.44,6.295574852270733,6.295574852270733,3.0,3.0
2021-01-12,1.2,0.86,1.5,1.01,1.28,5.524295644828971,5.524295644828971,0.0,0.0
2021-01-13,1.06,0.76,1.37,0.93,1.18,4.741179828544438,4.741179828544438,1.0,1.0
