date,ML,Low_90,High_90,Low_50,High_50,adjustedCases,adjustedDomesticCases,confirmedOnlyCases,confirmedOnlyDomesticCases
2020-03-05,0.0001,0.0001,10.81,0.0001,6.01,19.670869348622382,19.670869348622382,2.0,2.0
2020-03-06,11.88,10.66,12.0,11.57,12.0,22.812364514474712,22.812364514474712,1.0,1.0
2020-03-07,11.83,10.77,12.0,11.56,11.98,23.13778368695324,23.13778368695324,2.0,2.0
2020-03-08,9.55,7.8,11.38,8.77,10.3,21.232011321547873,21.232011321547873,1.0,1.0
2020-03-09,5.42,4.4,6.45,4.95,5.79,18.259504360238843,18.259504360238843,2.0,2.0
2020-03-10,3.3000000000000003,2.62,3.94,2.99,3.5300000000000002,15.16126443659472,15.16126443659472,1.0,1.0
2020-03-11,2.0100000000000002,1.51,2.48,1.77,2.17,12.384991091625347,12.384991091625347,2.0,2.0
2020-03-12,1.21,0.8200000000000001,1.57,1.02,1.33,10.045412741296774,10.045412741296774,1.0,1.0
2020-03-13,0.77,0.47000000000000003,1.06,0.6,0.85,8.135118160586286,8.135118160586286,2.0,2.0
2020-03-14,0.54,0.31,0.8,0.4,0.61,6.620519328394312,6.620519328394312,11.0,11.0
2020-03-15,0.43,0.21,0.66,0.31,0.5,5.462141822848424,5.462141822848424,15.0,15.0
2020-03-16,0.39,0.18,0.61,0.27,0.45,4.617859219862183,4.617859219862183,16.0,16.0
2020-03-17,0.37,0.15,0.59,0.27,0.45,4.045877617445626,4.045877617445626,25.0,25.0
2020-03-18,0.39,0.16,0.62,0.27,0.46,3.7067712341287025,3.7067712341287025,21.0,21.0
2020-03-19,0.42,0.17,0.66,0.31,0.51,3.5639570331678403,3.5639570331678403,9.0,9.0
2020-03-20,0.47000000000000003,0.23,0.75,0.33,0.55,3.583129604133781,3.583129604133781,7.0,7.0
2020-03-21,0.55,0.25,0.8200000000000001,0.38,0.62,3.731199459607685,3.731199459607685,17.0,17.0
2020-03-22,0.63,0.32,0.93,0.5,0.75,3.975262311447006,3.975262311447006,22.0,22.0
2020-03-23,0.73,0.41000000000000003,1.06,0.5700000000000001,0.84,4.2820815194325,4.2820815194325,11.0,11.0
2020-03-24,0.8300000000000001,0.49,1.18,0.64,0.93,4.618349299317778,4.618349299317778,1.0,1.0
2020-03-25,0.93,0.56,1.29,0.76,1.06,4.951683391539116,4.951683391539116,0.0,0.0
2020-03-26,1.02,0.63,1.3900000000000001,0.81,1.1300000000000001,5.2520640483502286,5.2520640483502286,2.0,2.0
2020-03-27,1.1,0.71,1.49,0.88,1.21,5.493315905946723,5.493315905946723,10.0,10.0
2020-03-28,1.1500000000000001,0.75,1.55,0.96,1.29,5.654298614851814,5.654298614851814,15.0,15.0
2020-03-29,1.18,0.77,1.58,0.96,1.3,5.719636351398934,5.719636351398934,0.0,0.0
2020-03-30,1.18,0.76,1.58,0.97,1.31,5.680012381967317,5.680012381967317,4.0,4.0
2020-03-31,1.16,0.76,1.57,0.9500000000000001,1.29,5.53220100156888,5.53220100156888,5.0,5.0
2020-04-01,1.12,0.71,1.52,0.96,1.29,5.279038886057563,5.279038886057563,3.0,3.0
2020-04-02,1.07,0.65,1.45,0.87,1.2,4.929424761340153,4.929424761340153,1.0,1.0
2020-04-03,1.0,0.62,1.4000000000000001,0.78,1.11,4.498225993868051,4.498225993868051,5.0,5.0
2020-04-04,0.92,0.53,1.3,0.72,1.04,4.005783498355692,4.005783498355692,10.0,10.0
2020-04-05,0.84,0.45,1.21,0.68,0.99,3.476680861408757,3.476680861408757,13.0,13.0
2020-04-06,0.76,0.39,1.1300000000000001,0.56,0.87,2.9376427210552074,2.9376427210552074,2.0,2.0
2020-04-07,0.68,0.31,1.04,0.51,0.81,2.414778131228825,2.414778131228825,1.0,1.0
2020-04-08,0.6,0.24,0.96,0.41000000000000003,0.71,1.9307102183435687,1.9307102183435687,7.0,7.0
2020-04-09,0.53,0.2,0.9,0.33,0.63,1.5022612197078977,1.5022612197078977,0.0,0.0
2020-04-10,0.46,0.14,0.8300000000000001,0.3,0.59,1.1392257246780328,1.1392257246780328,2.0,2.0
2020-04-11,0.4,0.09,0.77,0.23,0.52,0.844434007841993,0.844434007841993,10.0,10.0
2020-04-12,0.35000000000000003,0.04,0.71,0.17,0.46,0.6149356248839007,0.6149356248839007,6.0,6.0
2020-04-13,0.31,0.01,0.67,0.12,0.41000000000000003,0.44387076661698405,0.44387076661698405,14.0,14.0
2020-04-14,0.27,0.0001,0.65,0.12,0.4,0.3225183118041919,0.3225183118041919,5.0,5.0
2020-04-15,0.25,0.0001,0.64,0.09,0.37,0.24209719295347717,0.24209719295347717,0.0,0.0
2020-04-16,0.24,0.0001,0.65,0.1,0.38,0.19507333927766432,0.19507333927766432,3.0,3.0
2020-04-17,0.24,0.0001,0.66,0.08,0.37,0.1759023525100498,0.1759023525100498,5.0,5.0
2020-04-18,0.25,0.0001,0.6900000000000001,0.1,0.4,0.18126372007253116,0.18126372007253116,10.0,10.0
2020-04-19,0.28,0.0001,0.74,0.11,0.43,0.2099011834387979,0.2099011834387979,3.0,3.0
2020-04-20,0.33,0.0001,0.8,0.11,0.46,0.2621870786545686,0.2621870786545686,2.0,2.0
2020-04-21,0.39,0.01,0.88,0.2,0.5700000000000001,0.33949597449251095,0.33949597449251095,0.0,0.0
2020-04-22,0.48,0.06,1.0,0.26,0.66,0.4434278763520082,0.4434278763520082,0.0,0.0
2020-04-23,0.58,0.12,1.1300000000000001,0.33,0.76,0.5748932687138785,0.5748932687138785,1.0,1.0
2020-04-24,0.7000000000000001,0.18,1.26,0.46,0.91,0.733093236379425,0.733093236379425,2.0,2.0
2020-04-25,0.8300000000000001,0.28,1.41,0.56,1.03,0.9145109669169595,0.9145109669169595,0.0,0.0
2020-04-26,0.9500000000000001,0.4,1.57,0.66,1.1500000000000001,1.112146868671029,1.112146868671029,0.0,0.0
2020-04-27,1.08,0.48,1.69,0.79,1.29,1.3153076999247553,1.3153076999247553,1.0,1.0
2020-04-28,1.2,0.61,1.84,0.91,1.42,1.510224008668328,1.510224008668328,1.0,1.0
2020-04-29,1.3,0.6900000000000001,1.94,0.99,1.51,1.6815869718562089,1.6815869718562089,2.0,2.0
2020-04-30,1.3800000000000001,0.77,2.0300000000000002,1.09,1.61,1.8148062186206737,1.8148062186206737,0.0,0.0
2020-05-01,1.43,0.79,2.06,1.1500000000000001,1.67,1.8985005148562704,1.8985005148562704,0.0,0.0
2020-05-02,1.45,0.8300000000000001,2.09,1.1500000000000001,1.67,1.9265714446594275,1.9265714446594275,0.0,0.0
2020-05-03,1.44,0.81,2.06,1.12,1.6400000000000001,1.8992673051145903,1.8992673051145903,1.0,1.0
2020-05-04,1.4000000000000001,0.8,2.0300000000000002,1.1,1.61,1.8229241428208334,1.8229241428208334,0.0,0.0
2020-05-05,1.34,0.75,1.96,1.06,1.56,1.708476616078373,1.708476616078373,0.0,0.0
2020-05-06,1.27,0.68,1.87,1.0,1.49,1.569203603429126,1.569203603429126,0.0,0.0
2020-05-07,1.18,0.59,1.76,0.92,1.4000000000000001,1.4183646148408817,1.4183646148408817,1.0,1.0
2020-05-08,1.1,0.55,1.69,0.85,1.32,1.2673298556619808,1.2673298556619808,0.0,0.0
2020-05-09,1.01,0.47000000000000003,1.59,0.72,1.19,1.124557151698182,1.124557151698182,0.0,0.0
2020-05-10,0.9400000000000001,0.4,1.5,0.66,1.12,0.9954482440567063,0.9954482440567063,0.0,0.0
2020-05-11,0.87,0.33,1.42,0.62,1.07,0.8828581025905986,0.8828581025905986,10.0,10.0
2020-05-12,0.8200000000000001,0.31,1.3800000000000001,0.54,0.99,0.7879124262799487,0.7879124262799487,1.0,1.0
2020-05-13,0.77,0.28,1.34,0.49,0.9400000000000001,0.7108129329555392,0.7108129329555392,2.0,2.0
2020-05-14,0.74,0.23,1.29,0.52,0.96,0.6514239934906142,0.6514239934906142,0.0,0.0
2020-05-15,0.72,0.21,1.27,0.44,0.89,0.6095679483793912,0.6095679483793912,0.0,0.0
2020-05-16,0.71,0.19,1.26,0.44,0.89,0.5850581284930215,0.5850581284930215,1.0,1.0
2020-05-17,0.71,0.18,1.26,0.47000000000000003,0.92,0.5775491264556424,0.5775491264556424,0.0,0.0
2020-05-18,0.73,0.2,1.29,0.45,0.91,0.5862930249663384,0.5862930249663384,0.0,0.0
2020-05-19,0.75,0.21,1.32,0.45,0.92,0.6098809295250844,0.6098809295250844,6.0,6.0
2020-05-20,0.78,0.23,1.36,0.52,0.99,0.6460395682393981,0.6460395682393981,1.0,1.0
2020-05-21,0.8200000000000001,0.26,1.41,0.54,1.02,0.6915465976163626,0.6915465976163626,0.0,0.0
2020-05-22,0.86,0.29,1.46,0.5700000000000001,1.06,0.7423168077670145,0.7423168077670145,2.0,2.0
2020-05-23,0.91,0.33,1.52,0.6,1.1,0.7936844035315443,0.7936844035315443,1.0,1.0
2020-05-24,0.96,0.36,1.57,0.68,1.18,0.8408628899275834,0.8408628899275834,2.0,2.0
2020-05-25,1.0,0.41000000000000003,1.6300000000000001,0.6900000000000001,1.2,0.8795145048475984,0.8795145048475984,0.0,0.0
2020-05-26,1.04,0.42,1.6600000000000001,0.76,1.27,0.9063222548156892,0.9063222548156892,0.0,0.0
2020-05-27,1.07,0.45,1.7,0.75,1.27,0.9194436846470814,0.9194436846470814,1.0,1.0
2020-05-28,1.09,0.5,1.75,0.79,1.31,0.9187431126358622,0.9187431126358622,0.0,0.0
2020-05-29,1.09,0.48,1.74,0.81,1.33,0.9057456009393109,0.9057456009393109,2.0,2.0
2020-05-30,1.09,0.49,1.75,0.8300000000000001,1.35,0.8833202455228587,0.8833202455228587,0.0,0.0
2020-05-31,1.09,0.49,1.75,0.76,1.29,0.8551647677197345,0.8551647677197345,0.0,0.0
2020-06-01,1.07,0.47000000000000003,1.73,0.81,1.33,0.8252083506924556,0.8252083506924556,1.0,1.0
2020-06-02,1.06,0.44,1.7,0.78,1.3,0.7970610900315289,0.7970610900315289,1.0,1.0
2020-06-03,1.04,0.42,1.68,0.76,1.28,0.7736139899590729,0.7736139899590729,0.0,0.0
2020-06-04,1.02,0.4,1.6600000000000001,0.73,1.25,0.7568436104611513,0.7568436104611513,0.0,0.0
2020-06-05,1.01,0.42,1.67,0.72,1.24,0.7478181304708522,0.7478181304708522,3.0,3.0
2020-06-06,1.0,0.41000000000000003,1.6600000000000001,0.71,1.23,0.7468537775330172,0.7468537775330172,0.0,0.0
2020-06-07,1.0,0.4,1.6500000000000001,0.7000000000000001,1.22,0.7537426770682769,0.7537426770682769,2.0,2.0
2020-06-08,1.0,0.41000000000000003,1.6600000000000001,0.71,1.23,0.7679680279597049,0.7679680279597049,2.0,2.0
2020-06-09,1.01,0.39,1.6500000000000001,0.72,1.24,0.7888377570551848,0.7888377570551848,0.0,0.0
2020-06-10,1.02,0.4,1.6600000000000001,0.74,1.26,0.8154983623986322,0.8154983623986322,0.0,0.0
2020-06-11,1.04,0.43,1.69,0.77,1.29,0.8468297875916391,0.8468297875916391,0.0,0.0
2020-06-12,1.06,0.46,1.72,0.73,1.26,0.8812618677113903,0.8812618677113903,1.0,1.0
2020-06-13,1.08,0.45,1.72,0.75,1.28,0.9165846400280601,0.9165846400280601,2.0,2.0
2020-06-14,1.1,0.48,1.75,0.77,1.3,0.9498407796527196,0.9498407796527196,0.0,0.0
2020-06-15,1.11,0.5,1.77,0.79,1.32,0.977382515002582,0.977382515002582,1.0,1.0
2020-06-16,1.1300000000000001,0.51,1.78,0.81,1.34,0.9951445162412369,0.9951445162412369,0.0,0.0
2020-06-17,1.1300000000000001,0.52,1.79,0.81,1.34,0.9991305030285741,0.9991305030285741,2.0,2.0
2020-06-18,1.1400000000000001,0.52,1.79,0.81,1.34,0.9860445980503757,0.9860445980503757,1.0,1.0
2020-06-19,1.1300000000000001,0.5,1.77,0.8,1.33,0.9539373607322214,0.9539373607322214,0.0,0.0
2020-06-20,1.11,0.52,1.78,0.78,1.31,0.9027043410332192,0.9027043410332192,1.0,1.0
2020-06-21,1.08,0.47000000000000003,1.73,0.8,1.32,0.834290776293949,0.834290776293949,1.0,1.0
2020-06-22,1.05,0.42,1.68,0.76,1.28,0.7525231952773418,0.7525231952773418,0.0,0.0
2020-06-23,1.01,0.4,1.6500000000000001,0.7000000000000001,1.22,0.6625893995394808,0.6625893995394808,2.0,2.0
2020-06-24,0.96,0.34,1.59,0.65,1.17,0.5702880356419362,0.5702880356419362,0.0,0.0
2020-06-25,0.91,0.32,1.56,0.6,1.12,0.481230956188691,0.481230956188691,0.0,0.0
2020-06-26,0.85,0.25,1.49,0.55,1.07,0.40018380782759366,0.40018380782759366,0.0,0.0
2020-06-27,0.8,0.19,1.43,0.5,1.02,0.330675467812905,0.330675467812905,2.0,2.0
2020-06-28,0.76,0.17,1.4000000000000001,0.47000000000000003,0.99,0.27491954989042683,0.27491954989042683,2.0,2.0
2020-06-29,0.72,0.12,1.35,0.46,0.98,0.23400446626160956,0.23400446626160956,1.0,1.0
2020-06-30,0.68,0.08,1.31,0.36,0.89,0.2082497578021139,0.2082497578021139,1.0,1.0
2020-07-01,0.66,0.06,1.29,0.36,0.89,0.19760808957639261,0.19760808957639261,0.0,0.0
2020-07-02,0.65,0.08,1.31,0.32,0.86,0.20201129532945675,0.20201129532945675,1.0,1.0
2020-07-03,0.66,0.06,1.31,0.36,0.9,0.22160064172676308,0.22160064172676308,2.0,2.0
2020-07-04,0.68,0.09,1.36,0.36,0.91,0.2568264856511605,0.2568264856511605,1.0,1.0
2020-07-05,0.73,0.12,1.42,0.39,0.9500000000000001,0.3084332066750133,0.3084332066750133,2.0,2.0
2020-07-06,0.78,0.17,1.5,0.45,1.02,0.3773534936210152,0.3773534936210152,0.0,0.0
2020-07-07,0.86,0.19,1.56,0.51,1.09,0.4645265986910364,0.4645265986910364,0.0,0.0
2020-07-08,0.9400000000000001,0.3,1.69,0.58,1.17,0.5706422780754752,0.5706422780754752,0.0,0.0
2020-07-09,1.03,0.35000000000000003,1.77,0.71,1.3,0.69580965191824,0.69580965191824,0.0,0.0
2020-07-10,1.1300000000000001,0.47000000000000003,1.9000000000000001,0.77,1.37,0.8391635054527745,0.8391635054527745,0.0,0.0
2020-07-11,1.23,0.53,1.98,0.9,1.5,0.9984465242603214,0.9984465242603214,1.0,1.0
2020-07-12,1.33,0.61,2.07,1.02,1.62,1.1696383948538953,1.1696383948538953,1.0,1.0
2020-07-13,1.42,0.71,2.17,1.11,1.71,1.3467344463342832,1.3467344463342832,0.0,0.0
2020-07-14,1.5,0.81,2.2600000000000002,1.17,1.77,1.5217955551766829,1.5217955551766829,0.0,0.0
2020-07-15,1.56,0.87,2.31,1.2,1.8,1.6853778931905667,1.6853778931905667,0.0,0.0
2020-07-16,1.6,0.89,2.32,1.26,1.85,1.8273866004993846,1.8273866004993846,0.0,0.0
2020-07-17,1.62,0.9400000000000001,2.34,1.28,1.86,1.9382802524498735,1.9382802524498735,1.0,1.0
2020-07-18,1.62,0.96,2.33,1.27,1.84,2.010413777754388,2.010413777754388,0.0,0.0
2020-07-19,1.59,0.9400000000000001,2.2800000000000002,1.31,1.86,2.0392049598437962,2.0392049598437962,1.0,1.0
2020-07-20,1.54,0.89,2.2,1.23,1.77,2.0238039151765057,2.0238039151765057,0.0,0.0
2020-07-21,1.48,0.86,2.13,1.1500000000000001,1.68,1.967061450499553,1.967061450499553,1.0,1.0
2020-07-22,1.4000000000000001,0.78,2.02,1.11,1.62,1.8747993733700095,1.8747993733700095,0.0,0.0
2020-07-23,1.32,0.74,1.94,1.01,1.51,1.75460375883865,1.75460375883865,1.0,1.0
2020-07-24,1.23,0.65,1.82,0.92,1.41,1.6145004892418162,1.6145004892418162,0.0,0.0
2020-07-25,1.1400000000000001,0.58,1.72,0.89,1.36,1.4618756195965166,1.4618756195965166,0.0,0.0
2020-07-26,1.05,0.49,1.61,0.8,1.26,1.3028768875418806,1.3028768875418806,1.0,1.0
2020-07-27,0.97,0.45,1.54,0.74,1.19,1.1423371040037595,1.1423371040037595,4.0,4.0
2020-07-28,0.9,0.4,1.47,0.62,1.07,0.9840777467000795,0.9840777467000795,3.0,3.0
2020-07-29,0.8300000000000001,0.31,1.37,0.58,1.02,0.8313490998678985,0.8313490998678985,1.0,1.0
2020-07-30,0.76,0.24,1.29,0.49,0.93,0.6871687938443839,0.6871687938443839,4.0,4.0
2020-07-31,0.7000000000000001,0.19,1.23,0.43,0.87,0.5544156342041323,0.5544156342041323,1.0,1.0
2020-08-01,0.64,0.15,1.18,0.37,0.81,0.43567010667824513,0.43567010667824513,0.0,0.0
2020-08-02,0.59,0.11,1.1300000000000001,0.32,0.76,0.33290809527483184,0.33290809527483184,2.0,2.0
2020-08-03,0.54,0.07,1.08,0.27,0.71,0.24720733343328719,0.24720733343328719,0.0,0.0
2020-08-04,0.49,0.02,1.02,0.22,0.66,0.17860644534972053,0.17860644534972053,0.0,0.0
2020-08-05,0.44,0.01,0.99,0.16,0.6,0.1261867564081113,0.1261867564081113,2.0,2.0
2020-08-06,0.39,0.0001,0.97,0.16,0.59,0.08836831085328208,0.08836831085328208,4.0,4.0
2020-08-07,0.35000000000000003,0.0001,0.96,0.1,0.53,0.06336152769447657,0.06336152769447657,4.0,4.0
2020-08-08,0.32,0.0001,0.96,0.07,0.5,0.04971348559402748,0.04971348559402748,0.0,0.0
