date,ML,Low_90,High_90,Low_50,High_50,adjustedCases,adjustedDomesticCases,confirmedOnlyCases,confirmedOnlyDomesticCases
2020-03-15,0.0001,0.0001,10.81,0.0001,6.01,24.679273106902006,24.679273106902006,7.0,7.0
2020-03-16,11.9,10.870000000000001,12.0,11.64,12.0,27.982461308388856,27.982461308388856,8.0,8.0
2020-03-17,11.84,10.91,12.0,11.57,11.950000000000001,27.87476249266524,27.87476249266524,8.0,8.0
2020-03-18,9.290000000000001,7.66,11.01,8.49,9.89,25.49828461050157,25.49828461050157,20.0,20.0
2020-03-19,5.29,4.3500000000000005,6.19,4.82,5.58,22.500359598564664,22.500359598564664,2.0,2.0
2020-03-20,3.24,2.62,3.8200000000000003,2.97,3.46,19.947333612096607,19.947333612096607,7.0,7.0
2020-03-21,2.04,1.59,2.47,1.85,2.21,18.109626719542838,18.109626719542838,10.0,10.0
2020-03-22,1.35,0.99,1.68,1.1500000000000001,1.44,16.827577457289276,16.827577457289276,8.0,8.0
2020-03-23,0.99,0.7000000000000001,1.27,0.8300000000000001,1.07,15.864527787582233,15.864527787582233,2.0,2.0
2020-03-24,0.8300000000000001,0.58,1.08,0.6900000000000001,0.9,15.042298813704022,15.042298813704022,5.0,5.0
2020-03-25,0.76,0.5,0.98,0.62,0.8200000000000001,14.254080875193836,14.254080875193836,2.0,2.0
2020-03-26,0.73,0.49,0.96,0.59,0.79,13.452383991944108,13.452383991944108,10.0,10.0
2020-03-27,0.72,0.48,0.9500000000000001,0.58,0.78,12.635878422362342,12.635878422362342,15.0,15.0
2020-03-28,0.72,0.47000000000000003,0.9500000000000001,0.59,0.79,11.833799082581258,11.833799082581258,8.0,8.0
2020-03-29,0.72,0.47000000000000003,0.96,0.61,0.81,11.089272678057506,11.089272678057506,11.0,11.0
2020-03-30,0.72,0.46,0.96,0.58,0.79,10.444940133334478,10.444940133334478,6.0,6.0
2020-03-31,0.72,0.46,0.97,0.6,0.81,9.932949361595309,9.932949361595309,21.0,21.0
2020-04-01,0.74,0.47000000000000003,0.99,0.59,0.81,9.569686819626735,9.569686819626735,32.0,32.0
2020-04-02,0.75,0.49,1.02,0.62,0.84,9.354464552993518,9.354464552993518,23.0,23.0
2020-04-03,0.78,0.49,1.04,0.63,0.86,9.270918766777855,9.270918766777855,28.0,28.0
2020-04-04,0.81,0.53,1.09,0.6900000000000001,0.92,9.289987258145603,9.289987258145603,7.0,7.0
2020-04-05,0.85,0.55,1.1300000000000001,0.7000000000000001,0.9400000000000001,9.373715758592114,9.373715758592114,15.0,15.0
2020-04-06,0.89,0.59,1.18,0.72,0.97,9.479487868404446,9.479487868404446,12.0,12.0
2020-04-07,0.93,0.61,1.22,0.78,1.03,9.564416785483393,9.564416785483393,15.0,15.0
