state,date,cases
Japan,06/12/2019,2.04E-07
Japan,07/12/2019,2.80E-07
Japan,08/12/2019,3.87E-07
Japan,09/12/2019,5.39E-07
Japan,10/12/2019,7.59E-07
Japan,11/12/2019,1.08E-06
Japan,12/12/2019,1.55E-06
Japan,13/12/2019,2.25E-06
Japan,14/12/2019,3.29E-06
Japan,15/12/2019,4.89E-06
Japan,16/12/2019,7.37E-06
Japan,17/12/2019,1.17E-05
Japan,18/12/2019,1.80E-05
Japan,19/12/2019,2.84E-05
Japan,20/12/2019,4.56E-05
Japan,21/12/2019,7.47E-05
Japan,22/12/2019,0.000125478
Japan,23/12/2019,0.000216846
Japan,24/12/2019,0.000384751
Japan,25/12/2019,0.000705523
Japan,26/12/2019,0.001342391
Japan,27/12/2019,0.002664636
Japan,28/12/2019,0.005550951
Japan,29/12/2019,0.012221333
Japan,30/12/2019,0.028623727
Japan,31/12/2019,0.071449101
Japan,01/01/2020,0.185838732
Japan,02/01/2020,0.428033871
Japan,03/01/2020,0.268756155
Japan,04/01/2020,0.003504334
Japan,05/01/2020,0.00584006
Japan,06/01/2020,0.011094254
Japan,07/01/2020,0.015727923
Japan,08/01/2020,0.021088638
Japan,09/01/2020,0.034338173
Japan,10/01/2020,0.067291048
Japan,11/01/2020,0.157025987
Japan,12/01/2020,0.390161594
Japan,13/01/2020,0.877097955
Japan,14/01/2020,0.568686768
Japan,15/01/2020,0.065842293
Japan,16/01/2020,0.133426727
Japan,17/01/2020,0.3039472
Japan,18/01/2020,0.750062895
Japan,19/01/2020,1.739772619
Japan,20/01/2020,1.887461025
Japan,21/01/2020,1.804811816
Japan,22/01/2020,2.123316061
Japan,23/01/2020,2.188040686
Japan,24/01/2020,1.610970823
Japan,25/01/2020,1.076596493
Japan,26/01/2020,1.016288979
Japan,27/01/2020,0.858743099
Japan,28/01/2020,1.182910616
Japan,29/01/2020,1.784859928
Japan,30/01/2020,2.508036641
Japan,31/01/2020,3.477601347
Japan,01/02/2020,5.119594368
Japan,02/02/2020,7.255299075
Japan,03/02/2020,6.489694305
Japan,04/02/2020,4.55336823
Japan,05/02/2020,5.049048289
Japan,06/02/2020,4.924204722
Japan,07/02/2020,4.170229367
Japan,08/02/2020,4.290197719
Japan,09/02/2020,5.768459036
Japan,10/02/2020,6.058086249
Japan,11/02/2020,7.256903215
Japan,12/02/2020,9.399059409
Japan,13/02/2020,10.55481394
Japan,14/02/2020,11.23044991
Japan,15/02/2020,13.24027247
Japan,16/02/2020,14.93037389
Japan,17/02/2020,16.66238238
Japan,18/02/2020,18.86073247
Japan,19/02/2020,20.72401009
Japan,20/02/2020,22.15142619
Japan,21/02/2020,24.4598748
Japan,22/02/2020,28.90487185
Japan,23/02/2020,34.25230364
Japan,24/02/2020,37.21793126
Japan,25/02/2020,34.62354127
Japan,26/02/2020,31.86453182
Japan,27/02/2020,34.08594381
Japan,28/02/2020,34.30544618
Japan,29/02/2020,35.80566055
Japan,01/03/2020,41.08726607
Japan,02/03/2020,40.68332855
Japan,03/03/2020,39.23790055
Japan,04/03/2020,40.31609414
Japan,05/03/2020,42.03118932
Japan,06/03/2020,45.34077524
Japan,07/03/2020,45.66203639
Japan,08/03/2020,46.41560261
Japan,09/03/2020,45.37396714
Japan,10/03/2020,46.96123075
Japan,11/03/2020,49.62679496
Japan,12/03/2020,52.2458447
Japan,13/03/2020,55.94997596
Japan,14/03/2020,60.55525319
Japan,15/03/2020,71.02998653
Japan,16/03/2020,86.87035633
Japan,17/03/2020,102.133158
Japan,18/03/2020,120.1475773
Japan,19/03/2020,135.0663808
Japan,20/03/2020,146.5495233
Japan,21/03/2020,172.4312988
Japan,22/03/2020,211.9664529
Japan,23/03/2020,234.1909007
Japan,24/03/2020,252.9850934
Japan,25/03/2020,295.5628499
Japan,26/03/2020,358.7189085
Japan,27/03/2020,398.2393946
Japan,28/03/2020,427.8878743
Japan,29/03/2020,492.5037265
Japan,30/03/2020,526.0165168
Japan,31/03/2020,551.2295516
Japan,01/04/2020,551.1744526
Japan,02/04/2020,551.6042405
Japan,03/04/2020,540.5250309
Japan,04/04/2020,505.4489521
Japan,05/04/2020,516.1118909
Japan,06/04/2020,508.2242974
Japan,07/04/2020,473.7681735
Japan,08/04/2020,447.8980571
Japan,09/04/2020,439.7766922
Japan,10/04/2020,428.0949441
Japan,11/04/2020,395.4182623
Japan,12/04/2020,382.8078643
Japan,13/04/2020,370.3522123
Japan,14/04/2020,342.9075371
Japan,15/04/2020,311.4957604
Japan,16/04/2020,288.9637712
Japan,17/04/2020,274.4464717
Japan,18/04/2020,251.5919399
Japan,19/04/2020,248.9508672
Japan,20/04/2020,235.0750855
Japan,21/04/2020,211.8781166
Japan,22/04/2020,195.2137021
Japan,23/04/2020,194.0979175
Japan,24/04/2020,193.23428
Japan,25/04/2020,184.6382112
Japan,26/04/2020,189.4291107
Japan,27/04/2020,182.4500137
Japan,28/04/2020,170.1031688
Japan,29/04/2020,179.6089845
Japan,30/04/2020,193.5136051
Japan,01/05/2020,197.8524121
Japan,02/05/2020,199.3963084
Japan,03/05/2020,218.6084243
Japan,04/05/2020,287.1799176
Japan,05/05/2020,462.0267548
Japan,06/05/2020,804.1684139
Japan,07/05/2020,1080.185185
