state,date,0
Japan,2020-02-15,53.765977789197095
Japan,2020-02-16,50.12946882123724
Japan,2020-02-17,28.969228480719863
Japan,2020-02-18,21.841887096258972
Japan,2020-02-19,23.310625392123526
Japan,2020-02-20,29.287446700967994
Japan,2020-02-21,35.66930252680262
Japan,2020-02-22,38.60987414418041
Japan,2020-02-23,37.29869610496746
Japan,2020-02-24,34.73712393274552
Japan,2020-02-25,34.287301133932196
Japan,2020-02-26,36.45992234670551
Japan,2020-02-27,39.877652684356086
Japan,2020-02-28,42.934579640754365
Japan,2020-02-29,44.11089382539103
Japan,2020-03-01,43.600097774543684
Japan,2020-03-02,43.33137653686998
Japan,2020-03-03,44.125026200013004
Japan,2020-03-04,44.948257347409424
Japan,2020-03-05,44.47415447763899
Japan,2020-03-06,42.54095170314447
Japan,2020-03-07,40.19899197985499
Japan,2020-03-08,38.64943714491822
Japan,2020-03-09,38.50674668061899
Japan,2020-03-10,39.9609809001675
Japan,2020-03-11,43.728676223683266
Japan,2020-03-12,51.36412204915035
Japan,2020-03-13,64.43079902022134
Japan,2020-03-14,82.58275873750297
Japan,2020-03-15,102.76263195717051
Japan,2020-03-16,122.25589292298152
Japan,2020-03-17,141.8950414546922
Japan,2020-03-18,166.6060363828721
Japan,2020-03-19,202.55791311565162
Japan,2020-03-20,248.92017348012496
Japan,2020-03-21,296.4271639091453
Japan,2020-03-22,341.917128550959
Japan,2020-03-23,392.7241592423267
Japan,2020-03-24,448.8970548986866
Japan,2020-03-25,497.951214211381
Japan,2020-03-26,533.7211860193961
Japan,2020-03-27,560.8166648673653
Japan,2020-03-28,576.7868397416541
Japan,2020-03-29,575.4741878166371
Japan,2020-03-30,561.8933151492516
Japan,2020-03-31,547.6220638564471
Japan,2020-04-01,541.1541943454004
Japan,2020-04-02,544.4721213304429
Japan,2020-04-03,552.8686696872776
Japan,2020-04-04,551.3784469456951
Japan,2020-04-05,526.0983290419856
Japan,2020-04-06,482.13868852239943
Japan,2020-04-07,434.02788224326
Japan,2020-04-08,389.8441348128481
Japan,2020-04-09,352.03488016501166
Japan,2020-04-10,321.9875160484706
Japan,2020-04-11,297.77399941542717
Japan,2020-04-12,274.9127809848107
Japan,2020-04-13,253.21210902972825
Japan,2020-04-14,236.267216987187
Japan,2020-04-15,225.25059587453538
Japan,2020-04-16,217.5626690398951
Japan,2020-04-17,209.74557864518562
Japan,2020-04-18,198.56040514993217
Japan,2020-04-19,183.51921219349617
Japan,2020-04-20,168.8308635403762
Japan,2020-04-21,157.67620427616743
Japan,2020-04-22,148.24785055266557
Japan,2020-04-23,137.82281458885345
Japan,2020-04-24,126.84424883852773
Japan,2020-04-25,117.2356407053195
Japan,2020-04-26,111.21086697105463
Japan,2020-04-27,110.58367420248572
Japan,2020-04-28,112.71085462612537
Japan,2020-04-29,113.10141617909784
Japan,2020-04-30,114.94912265768713
Japan,2020-05-01,132.35445876752783
Japan,2020-05-02,185.06819683284857
Japan,2020-05-03,286.18477909418243
Japan,2020-05-04,414.32343506929095
Japan,2020-05-05,496.9495633768225
Japan,2020-05-06,455.52818377702965
Japan,2020-05-07,272.2729448182075
