state,date,0
Japan,2020-02-15,51.867661540482786
Japan,2020-02-16,48.436046124315546
Japan,2020-02-17,27.96321014236918
Japan,2020-02-18,20.807510545328853
Japan,2020-02-19,21.89968681096105
Japan,2020-02-20,27.4757453576167
Japan,2020-02-21,33.545889551072776
Japan,2020-02-22,36.292984882970714
Japan,2020-02-23,35.07816031138069
Japan,2020-02-24,32.81517240298113
Japan,2020-02-25,32.19274120069661
Japan,2020-02-26,33.10601076606371
Japan,2020-02-27,34.44625792672806
Japan,2020-02-28,35.88122293840031
Japan,2020-02-29,37.02928095179439
Japan,2020-03-01,37.72657186506524
Japan,2020-03-02,38.5643258008604
Japan,2020-03-03,39.6674267619431
Japan,2020-03-04,40.28026900264607
Japan,2020-03-05,39.571629273369005
Japan,2020-03-06,37.76173917096313
Japan,2020-03-07,35.8704248156869
Japan,2020-03-08,34.23227544736307
Japan,2020-03-09,32.48556820431376
Japan,2020-03-10,30.756276032561033
Japan,2020-03-11,30.200125425502137
Japan,2020-03-12,32.86969822100563
Japan,2020-03-13,41.62676312013034
Japan,2020-03-14,58.36978611669798
Japan,2020-03-15,81.15416726926401
Japan,2020-03-16,104.95015646999622
Japan,2020-03-17,126.93893602311255
Japan,2020-03-18,151.1392714217828
Japan,2020-03-19,185.63069410113104
Japan,2020-03-20,232.07195928737625
Japan,2020-03-21,282.1108013847586
Japan,2020-03-22,331.52598510120157
Japan,2020-03-23,386.5512454279477
Japan,2020-03-24,446.5527335013862
Japan,2020-03-25,498.17700387414885
Japan,2020-03-26,534.8026831349225
Japan,2020-03-27,561.4182991176812
Japan,2020-03-28,576.2903638495663
Japan,2020-03-29,573.9489222085848
Japan,2020-03-30,559.9940047936359
Japan,2020-03-31,545.9928213826634
Japan,2020-04-01,539.7361491256618
Japan,2020-04-02,542.6174281973538
Japan,2020-04-03,550.1651949287034
Japan,2020-04-04,548.2381310787453
Japan,2020-04-05,523.4165384946887
Japan,2020-04-06,480.51694702136723
Japan,2020-04-07,433.4696485901984
Japan,2020-04-08,390.0535273174156
Japan,2020-04-09,352.7431019600039
Japan,2020-04-10,323.0020816930419
Japan,2020-04-11,298.88408431453644
Japan,2020-04-12,275.8498033764102
Japan,2020-04-13,253.77902704862552
Japan,2020-04-14,236.44386332015304
Japan,2020-04-15,225.13623856972498
Japan,2020-04-16,217.29118787133746
Japan,2020-04-17,209.43712571341905
Japan,2020-04-18,198.29904543355627
Japan,2020-04-19,183.34680906969976
Japan,2020-04-20,168.7513977672598
Japan,2020-04-21,157.6703964234988
Japan,2020-04-22,148.2875490783057
Japan,2020-04-23,137.87959136858578
Japan,2020-04-24,126.89655706060088
Japan,2020-04-25,117.27214457160852
Japan,2020-04-26,111.22913963373395
Japan,2020-04-27,110.58709151056073
Japan,2020-04-28,112.7052990006281
Japan,2020-04-29,113.09284970171126
Japan,2020-04-30,114.94172421359302
Japan,2020-05-01,132.34974794677078
Japan,2020-05-02,185.06587648234722
Japan,2020-05-03,286.18406473506866
Japan,2020-05-04,414.3236564346846
Japan,2020-05-05,496.9501940801232
Japan,2020-05-06,455.52882092631296
Japan,2020-05-07,272.27332834056347
