state,date,,,before,smoothed
Japan,15/02/2020,7,,7,4.25
Japan,16/02/2020,3,,3,3.25
Japan,17/02/2020,0,,0,1
Japan,18/02/2020,1,,1,0.5
Japan,19/02/2020,0,,0,0.5
Japan,20/02/2020,1,,1,1
Japan,21/02/2020,2,,2,1.75
Japan,22/02/2020,2,,2,1.75
Japan,23/02/2020,1,,1,1
Japan,24/02/2020,0,,0,0.75
Japan,25/02/2020,2,,2,1.25
Japan,26/02/2020,1,,1,1
Japan,27/02/2020,0,,0,0.25
Japan,28/02/2020,0,,0,0.25
Japan,29/02/2020,1,,1,0.5
Japan,01/03/2020,0,,0,1.5
Japan,02/03/2020,5,,5,2.5
Japan,03/03/2020,0,,0,1.75
Japan,04/03/2020,2,,2,1.25
Japan,05/03/2020,1,,1,2.25
Japan,06/03/2020,5,,5,3.5
Japan,07/03/2020,3,,3,3
Japan,08/03/2020,1,,1,3
Japan,09/03/2020,7,,7,4.5
Japan,10/03/2020,3,,3,4.25
Japan,11/03/2020,4,,4,3
Japan,12/03/2020,1,,1,2.25
Japan,13/03/2020,3,,3,4
Japan,14/03/2020,9,,9,6.5
Japan,15/03/2020,5,,5,4.75
Japan,16/03/2020,0,,0,1.75
Japan,17/03/2020,2,,2,2
Japan,18/03/2020,4,,4,3
Japan,19/03/2020,2,,2,3
Japan,20/03/2020,4,,4,3.5
Japan,21/03/2020,4,,4,4.25
Japan,22/03/2020,5,,5,4.25
Japan,23/03/2020,3,,3,4
Japan,24/03/2020,5,,5,5.5
Japan,25/03/2020,9,,9,11.25
Japan,26/03/2020,22,,22,16
Japan,27/03/2020,11,,11,21
Japan,28/03/2020,40,,40,30.25
Japan,29/03/2020,30,,30,34.75
Japan,30/03/2020,39,,39,33.25
Japan,31/03/2020,25,,25,40.75
Japan,01/04/2020,74,,74,53.75
Japan,02/04/2020,42,,42,55.5
Japan,03/04/2020,64,,64,57
Japan,04/04/2020,58,,58,54
Japan,05/04/2020,36,,36,38.75
Japan,06/04/2020,25,,25,31.75
Japan,07/04/2020,41,,41,38.5
Japan,08/04/2020,47,,47,50
Japan,09/04/2020,65,,65,80
Japan,10/04/2020,143,,143,123.25
Japan,11/04/2020,142,,142,120.25
Japan,12/04/2020,54,,54,76.75
Japan,13/04/2020,57,,57,77
Japan,14/04/2020,140,,140,108.5
Japan,15/04/2020,97,,97,107.75
Japan,16/04/2020,97,,97,94.75
Japan,17/04/2020,88,,88,98
Japan,18/04/2020,119,,119,95.5
Japan,19/04/2020,56,,56,81.75
Japan,20/04/2020,96,,96,90.75
Japan,21/04/2020,115,,115,98.75
Japan,22/04/2020,69,,69,82.5
Japan,23/04/2020,77,,77,72
Japan,24/04/2020,65,,65,63.25
Japan,25/04/2020,46,,46,44.75
Japan,26/04/2020,22,,22,34.25
Japan,27/04/2020,47,,47,58
Japan,28/04/2020,116,,116,81.75
Japan,29/04/2020,48,,48,63.5
Japan,30/04/2020,42,,42,43.5
Japan,01/05/2020,42,,42,42.5
Japan,02/05/2020,44,,44,41.75
Japan,03/05/2020,37,,37,35.75
Japan,04/05/2020,25,,25,28
Japan,05/05/2020,25,,25,22.5
Japan,06/05/2020,15,,15,16.5
Japan,07/05/2020,11,,11,9.25
Japan,08/05/2020,0,,0,2.75
Japan,09/05/2020,0,,0,0
Japan,10/05/2020,0,,0,0
Japan,11/05/2020,0,,0,0
Japan,12/05/2020,0,,0,0
Japan,13/05/2020,0,,0,0
Japan,14/05/2020,0,,0,0
Japan,15/05/2020,0,,0,0
Japan,16/05/2020,0,,0,0
Japan,17/05/2020,0,,0,0
