,onset,domestic,imported
2020-01-03,1,0,1
2020-01-04,0,0,0
2020-01-05,0,0,0
2020-01-06,0,0,0
2020-01-07,0,0,0
2020-01-08,0,0,0
2020-01-09,0,0,0
2020-01-10,0,0,0
2020-01-11,0,0,0
2020-01-12,0,0,0
2020-01-13,0,0,0
2020-01-14,2,1,1
2020-01-15,0,0,0
2020-01-16,0,0,0
2020-01-17,0,0,0
2020-01-18,0,0,0
2020-01-19,0,0,0
2020-01-20,3,3,0
2020-01-21,1,0,1
2020-01-22,2,1,1
2020-01-23,2,1,1
2020-01-24,3,1,2
2020-01-25,1,1,0
2020-01-26,1,0,1
2020-01-27,1,1,0
2020-01-28,0,0,0
2020-01-29,1,1,0
2020-01-30,1,0,1
2020-01-31,2,2,0
2020-02-01,2,2,0
2020-02-02,4,4,0
2020-02-03,10,9,1
2020-02-04,5,5,0
2020-02-05,2,1,1
2020-02-06,6,5,1
2020-02-07,3,1,2
2020-02-08,3,3,0
2020-02-09,1,1,0
2020-02-10,7,7,0
2020-02-11,1,1,0
2020-02-12,7,6,1
2020-02-13,7,6,1
2020-02-14,10,10,0
2020-02-15,7,7,0
2020-02-16,14,13,1
2020-02-17,11,11,0
2020-02-18,16,15,1
2020-02-19,16,16,0
2020-02-20,20,20,0
2020-02-21,18,17,1
2020-02-22,21,19,2
2020-02-23,25,24,1
2020-02-24,34,34,0
2020-02-25,39,35,4
2020-02-26,30,28,2
2020-02-27,25,22,3
2020-02-28,36,36,0
2020-02-29,25,25,0
2020-03-01,31,26,5
2020-03-02,43,36,7
2020-03-03,33,27,6
2020-03-04,35,33,2
2020-03-05,34,29,5
2020-03-06,35,31,4
2020-03-07,44,41,3
2020-03-08,35,30,5
2020-03-09,46,37,9
2020-03-10,30,28,2
2020-03-11,44,41,3
2020-03-12,35,28,7
2020-03-13,44,39,5
2020-03-14,40,34,6
2020-03-15,41,28,13
2020-03-16,48,31,17
2020-03-17,68,44,24
2020-03-18,70,59,11
2020-03-19,100,82,18
2020-03-20,101,90,11
2020-03-21,96,83,13
2020-03-22,121,105,16
2020-03-23,189,176,13
2020-03-24,170,159,11
2020-03-25,183,171,12
2020-03-26,214,206,8
2020-03-27,331,320,11
2020-03-28,315,311,4
2020-03-29,327,319,8
2020-03-30,474,473,1
2020-03-31,411,406,5
2020-04-01,541,538,3
2020-04-02,419,414,5
2020-04-03,534,533,1
2020-04-04,445,445,0
2020-04-05,383,383,0
2020-04-06,472,470,2
2020-04-07,413,411,2
2020-04-08,387,385,2
2020-04-09,336,336,0
2020-04-10,373,371,2
2020-04-11,356,356,0
2020-04-12,285,283,2
2020-04-13,323,323,0
2020-04-14,292,292,0
2020-04-15,280,280,0
2020-04-16,226,226,0
2020-04-17,225,225,0
2020-04-18,216,216,0
2020-04-19,156,156,0
2020-04-20,219,219,0
2020-04-21,155,155,0
2020-04-22,162,162,0
2020-04-23,106,106,0
2020-04-24,147,147,0
2020-04-25,115,115,0
2020-04-26,104,104,0
2020-04-27,121,121,0
2020-04-28,94,94,0
2020-04-29,69,69,0
2020-04-30,77,77,0
2020-05-01,70,70,0
2020-05-02,59,59,0
2020-05-03,39,39,0
2020-05-04,28,28,0
2020-05-05,19,19,0
2020-05-06,17,17,0
2020-05-07,7,7,0
