date,ML,Low_90,High_90,Low_50,High_50
22/01/2020,0,0,10.81,0,6.01
23/01/2020,1.58,0,5.25,0.39,2.64
24/01/2020,0.75,0,3.88,0,1.63
25/01/2020,0.58,0,3.92,0,1.63
26/01/2020,1.15,0,4.56,0,2.01
27/01/2020,1.14,0,4.69,0,2.05
28/01/2020,1.85,0,5.28,0.53,2.93
29/01/2020,2.14,0,5.39,0.85,3.28
30/01/2020,2.03,0,5.06,0.78,3.04
31/01/2020,1.97,0,4.74,0.86,2.95
01/02/2020,2.1,0,4.63,1.04,3.02
02/02/2020,2.03,0.02,4.35,1.19,2.98
03/02/2020,0.87,0,2.87,0.16,1.4
04/02/2020,0.21,0,2.41,0,0.95
05/02/2020,1.23,0,3.43,0.32,1.85
06/02/2020,1.02,0,3.24,0.23,1.65
07/02/2020,0.7,0,2.99,0,1.27
08/02/2020,1.1,0,3.42,0.16,1.68
09/02/2020,1.77,0,4.05,0.85,2.61
10/02/2020,1.23,0,3.38,0.38,1.87
11/02/2020,1.49,0,3.56,0.71,2.26
12/02/2020,1.72,0,3.73,0.95,2.5
13/02/2020,1.36,0,3.17,0.64,2
14/02/2020,1.19,0,2.88,0.52,1.77
15/02/2020,1.45,0,3.13,0.73,2.04
16/02/2020,1.34,0,2.93,0.74,1.96
17/02/2020,1.31,0,2.81,0.68,1.85
18/02/2020,1.35,0.02,2.81,0.73,1.87
19/02/2020,1.27,0,2.63,0.66,1.74
20/02/2020,1.19,0,2.47,0.65,1.67
21/02/2020,1.27,0.03,2.57,0.73,1.75
22/02/2020,1.47,0.3,2.96,0.97,1.99
23/02/2020,1.5,0.38,2.94,1.01,1.98
24/02/2020,1.24,0.17,2.43,0.8,1.67
25/02/2020,0.81,0,1.67,0.34,1.08
26/02/2020,0.77,0,1.65,0.29,1.03
27/02/2020,1.17,0.05,2.26,0.67,1.55
28/02/2020,1.02,0,1.99,0.59,1.41
29/02/2020,1.11,0.01,2.12,0.67,1.51
01/03/2020,1.39,0.35,2.67,0.91,1.79
02/03/2020,0.99,0,1.86,0.58,1.34
03/03/2020,0.9,0,1.74,0.48,1.22
04/03/2020,1.07,0.03,2.01,0.65,1.44
05/03/2020,1.11,0.09,2.11,0.64,1.44
06/03/2020,1.21,0.22,2.31,0.77,1.57
07/03/2020,1.02,0.03,1.89,0.57,1.32
08/03/2020,1.04,0.03,1.91,0.59,1.34
09/03/2020,0.94,0,1.73,0.51,1.23
10/03/2020,1.09,0.1,2.03,0.64,1.4
11/03/2020,1.15,0.16,2.14,0.72,1.48
12/03/2020,1.14,0.17,2.11,0.74,1.48
13/03/2020,1.19,0.29,2.23,0.81,1.54
14/03/2020,1.22,0.33,2.25,0.82,1.54
15/03/2020,1.48,0.68,2.63,1.1,1.83
16/03/2020,1.64,0.96,2.84,1.3,2.02
17/03/2020,1.51,0.86,2.57,1.17,1.82
18/03/2020,1.52,0.94,2.54,1.22,1.83
19/03/2020,1.36,0.77,2.23,1.1,1.64
20/03/2020,1.24,0.65,2.01,0.96,1.46
21/03/2020,1.53,1.01,2.41,1.27,1.81
22/03/2020,1.71,1.18,2.63,1.4,1.98
23/03/2020,1.31,0.86,2,1.08,1.51
24/03/2020,1.23,0.8,1.86,1.04,1.43
25/03/2020,1.52,1.09,2.26,1.29,1.75
26/03/2020,1.69,1.22,2.48,1.41,1.92
27/03/2020,1.34,0.99,1.93,1.17,1.53
28/03/2020,1.22,0.89,1.73,1.04,1.36
29/03/2020,1.49,1.13,2.11,1.29,1.68
30/03/2020,1.21,0.91,1.67,1.04,1.33
31/03/2020,1.14,0.83,1.55,1.01,1.27
01/04/2020,1,0.62,1.31,0.87,1.11
02/04/2020,1,0.62,1.31,0.87,1.11
03/04/2020,0.94,0.51,1.21,0.77,1.02
04/04/2020,0.79,0.29,1.03,0.58,0.87
05/04/2020,1.06,0.73,1.44,0.9,1.16
06/04/2020,0.96,0.56,1.27,0.77,1.03
07/04/2020,0.78,0.26,1.02,0.61,0.9
08/04/2020,0.83,0.32,1.09,0.63,0.92
09/04/2020,0.95,0.48,1.25,0.75,1.03
10/04/2020,0.92,0.44,1.22,0.74,1.02
11/04/2020,0.75,0.22,1.02,0.53,0.85
12/04/2020,0.91,0.39,1.21,0.7,1
13/04/2020,0.91,0.39,1.22,0.71,1.01
14/04/2020,0.76,0.2,1.04,0.55,0.88
15/04/2020,0.69,0.11,0.96,0.47,0.82
16/04/2020,0.77,0.18,1.07,0.55,0.9
17/04/2020,0.85,0.26,1.19,0.62,0.97
18/04/2020,0.73,0.13,1.04,0.5,0.87
19/04/2020,0.97,0.39,1.39,0.74,1.1
20/04/2020,0.83,0.2,1.18,0.61,0.98
21/04/2020,0.67,0.06,0.98,0.39,0.79
22/04/2020,0.75,0.11,1.1,0.46,0.87
23/04/2020,0.98,0.38,1.49,0.75,1.15
24/04/2020,0.99,0.36,1.48,0.76,1.16
25/04/2020,0.87,0.22,1.3,0.61,1.02
26/04/2020,1.07,0.5,1.65,0.85,1.26
27/04/2020,0.9,0.24,1.34,0.64,1.05
28/04/2020,0.79,0.12,1.18,0.49,0.92
29/04/2020,1.15,0.62,1.82,0.95,1.38
30/04/2020,1.22,0.71,1.9,1.02,1.45
