state,date,cases
Japan,2020-01-03,0
Japan,2020-01-04,0
Japan,2020-01-05,0
Japan,2020-01-06,0
Japan,2020-01-07,0
Japan,2020-01-08,0
Japan,2020-01-09,0
Japan,2020-01-10,0
Japan,2020-01-11,0
Japan,2020-01-12,0
Japan,2020-01-13,0
Japan,2020-01-14,0
Japan,2020-01-15,0
Japan,2020-01-16,0
Japan,2020-01-17,0
Japan,2020-01-18,0
Japan,2020-01-19,0
Japan,2020-01-20,0
Japan,2020-01-21,0
Japan,2020-01-22,0
Japan,2020-01-23,0
Japan,2020-01-24,0
Japan,2020-01-25,0
Japan,2020-01-26,0
Japan,2020-01-27,0
Japan,2020-01-28,0
Japan,2020-01-29,0
Japan,2020-01-30,0
Japan,2020-01-31,0
Japan,2020-02-01,0
Japan,2020-02-02,0
Japan,2020-02-03,0
Japan,2020-02-04,0
Japan,2020-02-05,0
Japan,2020-02-06,0
Japan,2020-02-07,0
Japan,2020-02-08,0
Japan,2020-02-09,0
Japan,2020-02-10,0
Japan,2020-02-11,0
Japan,2020-02-12,0
Japan,2020-02-13,0
Japan,2020-02-14,0
Japan,2020-02-15,7
Japan,2020-02-16,3
Japan,2020-02-17,0
Japan,2020-02-18,1
Japan,2020-02-19,0
Japan,2020-02-20,1
Japan,2020-02-21,2
Japan,2020-02-22,2
Japan,2020-02-23,1
Japan,2020-02-24,0
Japan,2020-02-25,2
Japan,2020-02-26,0
Japan,2020-02-27,0
Japan,2020-02-28,0
Japan,2020-02-29,1
Japan,2020-03-01,0
Japan,2020-03-02,5
Japan,2020-03-03,0
Japan,2020-03-04,2
Japan,2020-03-05,1
Japan,2020-03-06,5
Japan,2020-03-07,2
Japan,2020-03-08,1
Japan,2020-03-09,7
Japan,2020-03-10,3
Japan,2020-03-11,4
Japan,2020-03-12,1
Japan,2020-03-13,1
Japan,2020-03-14,9
Japan,2020-03-15,5
Japan,2020-03-16,0
Japan,2020-03-17,2
Japan,2020-03-18,3
Japan,2020-03-19,2
Japan,2020-03-20,4
Japan,2020-03-21,2
Japan,2020-03-22,5
Japan,2020-03-23,3
Japan,2020-03-24,4
Japan,2020-03-25,5
Japan,2020-03-26,20
Japan,2020-03-27,11
Japan,2020-03-28,36
Japan,2020-03-29,30
Japan,2020-03-30,38
Japan,2020-03-31,24
Japan,2020-04-01,72
Japan,2020-04-02,41
Japan,2020-04-03,64
Japan,2020-04-04,58
Japan,2020-04-05,36
Japan,2020-04-06,25
Japan,2020-04-07,41
Japan,2020-04-08,47
Japan,2020-04-09,63
Japan,2020-04-10,143
Japan,2020-04-11,142
Japan,2020-04-12,54
Japan,2020-04-13,55
Japan,2020-04-14,140
Japan,2020-04-15,97
Japan,2020-04-16,97
Japan,2020-04-17,88
Japan,2020-04-18,119
Japan,2020-04-19,56
Japan,2020-04-20,96
Japan,2020-04-21,115
Japan,2020-04-22,69
Japan,2020-04-23,77
Japan,2020-04-24,65
Japan,2020-04-25,46
Japan,2020-04-26,22
Japan,2020-04-27,47
Japan,2020-04-28,116
Japan,2020-04-29,48
Japan,2020-04-30,42
Japan,2020-05-01,42
Japan,2020-05-02,44
Japan,2020-05-03,37
Japan,2020-05-04,25
Japan,2020-05-05,25
Japan,2020-05-06,15
Japan,2020-05-07,11
