Total cases,Johor,Kedah,Kelantan,Malacca,Negeri Sembilan,Pahang,Penang,Perak,Perlis,Sabah,Sarawak,Selangor,Terengganu,Kuala Lumpur,Putrajaya,Labuan,Date
1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2020-01-25
1,null,null,null,null,null,null,null,null,null,null,null,null,null,0.25,null,null,2020-02-03
1,null,0.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2020-02-03
1,null,null,null,null,null,null,null,null,0.1,null,null,null,null,null,null,null,2020-03-13
1,null,0.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2020-01-30
1,null,null,null,0.1,null,null,null,null,null,null,null,null,null,null,null,null,2020-03-13
1,null,0.3333333333333333,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2020-01-28
1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.0,null,2020-03-14
1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.1,null,2020-03-13
2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.2,2020-03-13
2,null,0.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2020-02-09
2,null,null,null,null,0.0,null,null,null,null,null,null,null,null,null,null,null,2020-02-09
2,null,0.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2020-02-13
2,null,null,null,null,0.0,null,null,null,null,null,null,null,null,null,null,null,2020-02-13
2,null,null,null,null,0.0,null,null,null,null,null,null,null,null,null,null,null,2020-02-14
2,null,null,null,null,null,0.0,null,null,null,null,null,null,null,null,null,null,2020-03-14
2,null,null,null,null,0.0,null,null,null,null,null,null,null,null,null,null,null,2020-02-15
2,null,null,null,null,0.0,null,null,null,null,null,null,null,null,null,null,null,2020-02-28
2,null,null,null,null,0.0,null,null,null,null,null,null,null,null,null,null,null,2020-03-01
2,null,null,null,null,0.0,null,null,null,null,null,null,null,null,null,null,null,2020-03-03
2,null,null,null,null,0.0,null,null,null,null,null,null,null,null,null,null,null,2020-02-08
2,null,null,null,null,null,0.2,null,null,null,null,null,null,null,null,null,null,2020-03-13
2,null,null,null,null,null,null,null,null,1.0,null,null,null,null,null,null,null,2020-03-14
2,null,null,null,null,null,null,null,0.2,null,null,null,null,null,null,null,null,2020-03-13
