Date,Total cases,New cases,Total deaths,Total recovered
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,4,4,0,0
2020-01-26,4,0,0,0
2020-01-27,4,0,0,0
2020-01-28,7,3,0,0
2020-01-29,7,0,0,0
2020-01-30,8,1,0,0
2020-01-31,8,0,0,0
2020-02-01,8,0,0,0
2020-02-02,8,0,0,0
2020-02-03,8,0,0,0
2020-02-04,10,2,0,1
2020-02-05,12,2,0,1
2020-02-06,14,2,0,1
2020-02-07,15,1,0,1
2020-02-08,16,1,0,2
2020-02-09,17,1,0,3
2020-02-10,18,1,0,3
2020-02-11,18,0,0,3
2020-02-12,18,0,0,3
2020-02-13,19,1,0,3
2020-02-14,19,0,0,7
2020-02-15,21,2,0,7
2020-02-16,22,1,0,8
2020-02-17,22,0,0,9
2020-02-18,22,0,0,11
2020-02-19,22,0,0,15
2020-02-20,22,0,0,17
2020-02-21,22,0,0,17
2020-02-22,22,0,0,17
2020-02-23,22,0,0,18
2020-02-24,22,0,0,20
2020-02-25,22,0,0,20
2020-02-26,22,0,0,20
2020-02-27,23,1,0,22
2020-02-28,25,2,0,22
2020-02-29,25,0,0,22
2020-03-01,29,4,0,22
2020-03-02,29,0,0,22
2020-03-03,36,7,0,22
2020-03-04,50,14,0,22
2020-03-05,55,5,0,22
2020-03-06,83,28,0,23
2020-03-07,93,10,0,23
2020-03-08,99,6,0,23
2020-03-09,117,18,0,24
2020-03-10,129,12,0,24
2020-03-11,149,20,0,26
2020-03-12,158,9,0,32
2020-03-13,197,39,0,33
2020-03-14,238,41,0,35
2020-03-15,428,190,0,42
2020-03-16,553,125,0,42
2020-03-17,673,120,2,49
2020-03-18,790,117,2,60
2020-03-19,900,110,2,75
2020-03-20,1030,130,2,87
2020-03-21,1183,153,8,114
2020-03-22,1306,123,10,139
2020-03-23,1518,212,14,159
2020-03-24,1624,106,15,183
2020-03-25,1796,172,20,199
2020-03-26,2031,235,23,215
2020-03-27,2161,130,26,259
2020-03-28,2320,159,27,320
2020-03-29,2470,150,35,388
2020-03-30,2626,156,37,479
2020-03-31,2766,140,43,537
2020-04-01,2908,142,45,645
2020-04-02,3116,208,50,767
